scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,7_24_O5 - Made with Clipchamp_10f,0.jpg,792.2745548593267,839.935442166234,808.8311523580344,796.3977228177802,852.9820790212552,835.0297836480983
labeled-data,7_24_O5 - Made with Clipchamp_10f,11.jpg,772.6519207867841,852.81279577634,783.0764451378224,818.4731861493906,829.066993745344,855.8788323501747
labeled-data,7_24_O5 - Made with Clipchamp_10f,110.jpg,648.1708358890924,867.5297713307468,693.548177181847,844.8411006843696,711.3311893100887,903.7090029019971
labeled-data,7_24_O5 - Made with Clipchamp_10f,121.jpg,632.8406530199185,857.1052469797087,680.670823571741,832.5769543890304,693.548177181847,882.8599541999207
labeled-data,7_24_O5 - Made with Clipchamp_10f,132.jpg,621.8029213541133,849.7467592025052,673.3123357945375,827.6712958708948,689.2557259784783,895.1241004952599
labeled-data,7_24_O5 - Made with Clipchamp_10f,143.jpg,611.3783970030751,845.4543079991365,662.2746041287323,825.218466611827,661.6613968139654,889.6052346623572
labeled-data,7_24_O5 - Made with Clipchamp_10f,154.jpg,608.3123604292404,841.1618567957678,659.2085675548976,825.218466611827,661.6613968139654,886.5391980885224
labeled-data,7_24_O5 - Made with Clipchamp_10f,165.jpg,608.3123604292404,838.0958202219331,657.3689456105967,825.218466611827,660.4349821844314,884.0863688294546
labeled-data,7_24_O5 - Made with Clipchamp_10f,176.jpg,605.2463238554055,833.1901617037975,656.7557382958297,818.4731861493906,659.8217748696645,876.7278810522512
labeled-data,7_24_O5 - Made with Clipchamp_10f,187.jpg,594.8217995043674,822.7656373527592,643.8783846857236,808.0486617983522,651.8500797776941,869.3693932750477
labeled-data,7_24_O5 - Made with Clipchamp_10f,198.jpg,585.623689782863,816.6335642050897,640.199140797122,803.1430032802166,642.6519700561898,864.4637347569121
labeled-data,7_24_O5 - Made with Clipchamp_10f,209.jpg,586.2368970976299,815.4071495755556,638.972726167588,802.5297959654497,648.1708358890924,863.8505274421452
labeled-data,7_24_O5 - Made with Clipchamp_10f,22.jpg,744.4443843075043,862.0109054978443,766.5198476391147,827.6712958708948,812.5103962466362,876.1146737374843
labeled-data,7_24_O5 - Made with Clipchamp_10f,220.jpg,582.138281385178,811.9084919475589,636.7137323994369,797.8047237079189,655.7231591572125,873.2292234242544
labeled-data,7_24_O5 - Made with Clipchamp_10f,231.jpg,576.0062082375084,808.8424553737242,629.3552446222334,791.6726505602494,644.0722201766404,862.1914917584492
labeled-data,7_24_O5 - Made with Clipchamp_10f,242.jpg,566.8080985160041,805.7764187998894,621.99675684503,790.4462359307155,626.9024153631656,858.5122478698474
