scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,690.50604,944.0622,0.7143578
1,686.4291,937.83014,0.7172239
2,683.83276,932.3397,0.60323817
3,678.48444,923.5524,0.5778502
4,674.0124,924.02454,0.5983928
5,670.7373,916.84375,0.7755027
6,664.7027,909.5865,0.7654546
7,664.3642,901.655,0.7820028
8,666.2907,899.1144,0.80106694
9,661.6342,888.61926,0.763305
10,658.91095,882.6613,0.56028354
11,656.88934,881.2651,0.6559259
12,653.11945,873.34155,0.8166615
13,653.643,869.79626,0.8316676
14,654.56067,865.4842,0.77344453
15,654.2375,860.81134,0.76538837
16,653.20746,856.93567,0.7508157
17,654.16046,853.3763,0.7524525
18,654.4885,849.01337,0.75643635
19,654.21875,845.6376,0.7839431
20,653.76794,843.9805,0.83565485
21,653.3908,842.9245,0.83276814
22,652.4936,842.63,0.81877357
23,651.346,842.04407,0.83460134
24,651.1374,843.5334,0.8550624
25,650.3779,843.5444,0.8417743
26,650.0724,844.6807,0.80954224
27,650.6683,845.0072,0.8360214
28,649.0978,845.0371,0.84098685
29,648.49097,845.1947,0.8383694
30,647.6186,847.61786,0.8065611
31,647.6769,849.61395,0.7618345
32,645.7113,850.4975,0.7684942
33,644.6697,853.2087,0.7699234
34,642.53253,854.8518,0.75703305
35,643.03455,858.1636,0.78140956
36,641.4185,860.5037,0.7651509
37,640.23834,862.303,0.73989946
38,639.89795,864.807,0.6827906
39,639.84204,867.1891,0.704113
40,639.6137,869.69196,0.702842
41,638.9353,870.92615,0.74232733
42,639.33124,872.5961,0.71949834
43,638.4373,873.3313,0.72825307
44,638.6086,874.3695,0.7297495
45,638.2607,875.7067,0.752467
46,637.39246,876.94275,0.78148556
47,636.617,878.2918,0.7774358
48,636.2287,879.86566,0.77183414
49,636.35803,881.621,0.72443163
50,635.81946,881.8463,0.75438696
51,635.758,882.7107,0.7875405
52,635.801,882.90454,0.7958737
53,635.91125,884.05634,0.8006684
54,636.154,885.4539,0.7893543
55,635.87085,886.31354,0.78080976
56,635.9797,886.76416,0.7642823
57,635.59045,887.35675,0.78413886
58,635.6177,887.57697,0.7772639
59,635.5857,888.56195,0.7825417
60,635.76843,889.4881,0.737113
61,635.1625,890.46155,0.7491855
62,634.96735,892.4377,0.7477935
63,634.495,894.4454,0.8001895
64,634.7665,898.1197,0.74254924
65,634.8068,899.895,0.76781553
66,635.07025,901.11304,0.764913
67,635.13,901.8293,0.78015256
68,634.76495,902.50433,0.77942836
69,635.1252,902.7252,0.77568734
70,634.9005,903.204,0.76439226
71,634.40753,903.1825,0.77248204
72,634.7811,903.74585,0.77195823
73,634.9093,903.4048,0.782053
74,635.04095,903.427,0.78963053
75,635.0907,902.94135,0.77842975
76,635.08997,902.7381,0.796717
77,634.9399,902.6098,0.8024896
78,635.15125,902.6644,0.79179317
79,634.9108,902.6249,0.8078521
80,635.12225,902.83405,0.7952428
81,635.2367,903.3047,0.7895677
82,635.3229,903.274,0.7830404
83,634.8805,903.3996,0.77977157
84,634.1107,902.8176,0.7818878
85,634.32367,902.9815,0.7898796
86,634.5859,903.04724,0.7943927
87,634.7256,903.37024,0.7839869
