scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1057.2534,76.549286,0.9856053,1067.4775,55.565773,0.65820694,1090.5919,81.64539,0.85260487
1,1056.2773,77.526855,0.9619581,1066.1909,56.56269,0.68031204,1089.9862,82.24888,0.8729352
2,1055.6936,75.62355,0.94958043,1065.6418,54.23204,0.6442823,1089.651,82.27041,0.85635364
3,1055.0845,77.412415,0.93196166,1064.4924,55.071907,0.6652837,1089.862,83.5422,0.8847265
4,1055.4097,77.011154,0.94505763,1065.6588,56.9957,0.626516,1089.7555,84.15835,0.845966
5,1055.4382,77.926575,0.9155398,1064.4009,57.402397,0.6532809,1088.432,83.75441,0.86773556
6,1056.0712,77.9617,0.947298,1064.1968,57.66221,0.6686327,1088.9171,83.98123,0.8633304
7,1055.9579,77.73671,0.9394903,1063.2104,54.22513,0.76644015,1088.5894,83.27802,0.8932685
8,1055.2281,77.91098,0.8995172,1061.8347,53.48091,0.81479806,1088.2118,83.49325,0.8827722
9,1055.3158,76.73644,0.9008701,1061.6995,52.219135,0.82832545,1088.5264,82.82545,0.88338405
10,1055.3514,76.15868,0.92170644,1062.2584,52.34307,0.817585,1088.5405,82.20394,0.886874
11,1055.9259,75.185295,0.9218127,1063.2675,52.59111,0.78123164,1089.0479,82.22332,0.86571515
12,1054.6896,73.62967,0.8922942,1060.558,49.966663,0.81058747,1087.2922,81.432076,0.80036455
13,1054.6232,72.98868,0.9056165,1061.0771,49.440083,0.8221195,1087.6028,80.694565,0.80072975
14,1054.1407,72.257286,0.9025773,1058.9725,46.70346,0.815966,1088.4935,78.10045,0.79546887
15,1054.6727,73.11581,0.9082308,1060.4231,46.512165,0.7994752,1089.3732,79.82686,0.7946535
16,1055.2073,73.28655,0.8780177,1059.5192,46.305065,0.81331384,1090.3712,79.03161,0.82726157
17,1055.6868,72.82003,0.8917856,1059.9884,45.9073,0.83224404,1091.1875,78.78493,0.8212229
18,1055.4315,73.617546,0.89523506,1059.8615,46.014507,0.81691223,1090.6823,78.718575,0.85040426
19,1055.4276,73.65201,0.9053371,1060.3766,46.193447,0.82216096,1091.3005,77.94696,0.86985236
20,1055.0771,72.986565,0.9129214,1059.9204,45.679115,0.8271583,1090.9878,76.90045,0.88785213
