scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,7_26_O11 - Made with Clipchamp_10f,0.jpg,870.5436282189465,701.2145562762962,932.404607371157,707.7606916363185,902.9469982510568,764.7120692685123
labeled-data,7_26_O11 - Made with Clipchamp_10f,11.jpg,897.3827831950379,684.1946043402382,950.0791728432172,698.5961021322873,918.6577231151102,749.655957940461
labeled-data,7_26_O11 - Made with Clipchamp_10f,110.jpg,1035.8907608168063,803.132338155647,1067.6075567253686,849.1245724976809,1005.0093553580245,845.9099063861606
labeled-data,7_26_O11 - Made with Clipchamp_10f,121.jpg,1089.4940360179971,828.2329331728993,1119.836655037323,873.000731726003,1063.60021172847,874.6309144108889
labeled-data,7_26_O11 - Made with Clipchamp_10f,132.jpg,1097.0787554526678,837.1273823193502,1120.0780197081035,875.8629852758736,1064.749052049459,874.6309144108889
labeled-data,7_26_O11 - Made with Clipchamp_10f,143.jpg,1076.832352916042,835.4142745778216,1109.9906231048421,883.9329025584826,1045.218766592644,878.0774353738561
labeled-data,7_26_O11 - Made with Clipchamp_10f,154.jpg,1067.8052213875274,853.2030337663654,1098.8691740003576,915.06543512354,1034.879203703742,906.7984433985844
labeled-data,7_26_O11 - Made with Clipchamp_10f,165.jpg,1052.405997015355,864.354196242766,1077.6288645214993,920.3755124932545,1010.7535569629702,922.8822078924322
labeled-data,7_26_O11 - Made with Clipchamp_10f,176.jpg,1024.5280908243537,864.6197001112516,1054.7955318317267,925.4200859944834,986.6279102221986,913.6914853245191
labeled-data,7_26_O11 - Made with Clipchamp_10f,22.jpg,907.2019862350712,657.682756132148,965.7898977072706,669.138493012187,928.1496193871426,719.2164285163575
labeled-data,7_26_O11 - Made with Clipchamp_10f,33.jpg,886.9089666190023,639.6808838920869,945.1695713232004,654.409688452137,905.5654523950657,704.4876239563073
labeled-data,7_26_O11 - Made with Clipchamp_10f,44.jpg,877.744377114971,639.0262703560846,930.1134599951492,661.6104373481614,877.4170703469699,698.2687953642862
labeled-data,7_26_O11 - Made with Clipchamp_10f,55.jpg,866.6159470029331,654.0823816841358,921.6034840271203,676.3392419082115,866.9432537709342,707.7606916363185
labeled-data,7_26_O11 - Made with Clipchamp_10f,66.jpg,859.0878913389075,682.5580705002327,914.7300418990969,708.0879984043196,858.4332778029053,746.3828902604499
labeled-data,7_26_O11 - Made with Clipchamp_10f,77.jpg,855.8148236588964,716.5979743723485,909.165826843078,741.4732887404332,846.9775409228664,767.6578301805223
labeled-data,7_26_O11 - Made with Clipchamp_10f,88.jpg,858.1256183794533,742.6084268919257,906.1416262109769,769.642649788666,834.3193623957567,809.1852444734502
labeled-data,7_26_O11 - Made with Clipchamp_10f,99.jpg,925.3451134555061,798.6118993599947,958.2319561225339,838.0665822004846,870.8410490662366,830.8658333044601
