Date,OC_ID,Trial Type,Crab Caught?
7_24,1,1,1
7_24,2,4,1
7_24,4,1,1
7_24,5,1,1
7_24,7,1,1
7_24,8,4,1
7_24,9,4,1
7_24,10,4,1
7_24,11,4,1
7_24,12,4,0
7_24,13,4,0
7_24,14,4,1
7_24,16,4,1
7_24,17,4,1
7_24,18,4,0
7_24,19,4,0
7_26,1,4,1
7_26,2,4,1
7_26,4,4,1
7_26,5,4,1
7_26,7,4,1
7_26,8,1,1
7_26,9,1,1
7_26,10,1,1
7_26,11,1,1
7_26,12,1,0
7_26,13,1,1
7_26,14,1,1
7_26,16,1,1
7_26,17,1,1
7_26,18,1,0
7_26,19,1,1
7_28,1,1,1
7_28,2,1,1
7_28,4,1,0
7_28,5,1,1
7_28,7,1,1
7_28,8,1,1
7_28,9,1,1
7_28,10,1,1
7_28,11,1,1
7_28,12,1,0
7_28,13,1,0
7_28,14,1,1
7_28,16,1,1
7_28,17,1,1
7_28,18,1,1
7_28,19,1,1
7_30,1,4,1
7_30,2,4,1
7_30,4,4,1
7_30,5,4,1
7_30,7,4,1
7_30,8,4,1
7_30,9,4,1
7_30,10,4,1
7_30,11,4,1
7_30,12,4,0
7_30,13,4,1
7_30,14,4,1
7_30,16,4,0
7_30,17,4,1
7_30,18,4,1
7_30,19,4,1
8_1,1,1,1
8_1,2,1,1
8_1,4,1,1
8_1,5,1,1
8_1,7,1,1
8_1,8,1,1
8_1,9,1,1
8_1,10,1,1
8_1,11,1,1
8_1,12,1,0
8_1,13,4,0
8_1,14,4,1
8_1,16,4,1
8_1,17,4,1
8_1,18,4,1
8_1,19,4,1
8_3,1,4,1
8_3,2,4,1
8_3,4,4,1
8_3,5,4,1
8_3,7,4,1
8_3,8,4,1
8_3,9,4,1
8_3,10,4,1
8_3,11,4,1
8_3,12,4,0
8_3,13,4,0
8_3,14,4,1
8_3,16,4,1
8_3,17,4,1
8_3,18,4,0
8_3,19,4,1
8_5,1,4,1
8_5,2,4,1
8_5,4,4,1
8_5,5,4,1
8_5,7,4,1
8_5,8,4,2
8_5,9,4,1
8_5,10,4,1
8_5,11,4,1
8_5,12,4,0
8_5,13,4,1
8_5,14,4,1
8_5,16,4,1
8_5,17,4,1
8_5,18,4,0
8_5,19,4,1
8_7,1,4,1
8_7,2,4,1
8_7,4,4,1
8_7,5,4,1
8_7,7,4,1
8_7,8,4,1
8_7,9,4,1
8_7,10,4,1
8_7,11,4,1
8_7,12,4,1
8_7,13,4,0
8_7,14,4,1
8_7,16,4,1
8_7,17,4,1
8_7,18,4,0
8_7,19,4,1
8_9,1,4,1
8_9,2,4,1
8_9,4,4,1
8_9,5,4,1
8_9,7,4,1
8_9,8,4,1
8_9,9,4,1
8_9,10,4,1
8_9,11,4,1
8_9,12,4,1
8_9,13,4,1
8_9,14,4,1
8_9,16,4,1
8_9,17,4,1
8_9,18,4,1
8_9,19,4,1
8_11,1,4,1
8_11,2,4,1
8_11,4,4,1
8_11,5,4,1
8_11,7,4,1
8_11,8,4,1
8_11,9,4,1
8_11,10,4,1
8_11,11,4,1
8_11,12,4,0
8_11,13,4,1
8_11,14,4,1
8_11,16,4,1
8_11,17,4,1
8_11,18,4,1
8_11,19,4,1
8_13,1,4,1
8_13,2,4,1
8_13,4,4,1
8_13,5,4,1
8_13,7,4,1
8_13,8,4,1
8_13,9,4,1
8_13,10,4,0
8_13,11,4,0
8_13,12,4,0
8_13,13,4,0
8_13,14,4,1
8_13,16,4,1
8_13,17,4,1
8_13,18,4,0
8_13,19,4,1
8_15,1,4,1
8_15,2,4,1
8_15,4,4,1
8_15,5,4,1
8_15,7,4,1
8_15,8,4,1
8_15,9,4,1
8_15,10,4,1
8_15,11,4,1
8_15,12,4,0
8_15,13,4,1
8_15,14,4,1
8_15,16,4,1
8_15,17,4,1
8_15,18,4,1
8_15,19,4,1
8_17,1,4,1
8_17,2,4,1
8_17,4,4,1
8_17,5,4,1
8_17,7,4,1
8_17,8,4,1
8_17,9,4,0
8_17,10,4,1
8_17,11,4,1
8_17,12,4,3
8_17,13,4,1
8_17,14,4,1
8_17,16,4,1
8_17,17,4,1
8_17,18,4,1
8_17,19,4,1
