Date,OC_ID,Time
7_24,1,1.7
7_26,1,2.866666667
7_28,1,2.533333333
7_30,1,1.616666667
8_1,1,2.183333333
8_3,1,11.21666667
8_5,1,14.26666667
8_7,1,3.766666667
8_9,1,10.71666667
8_11,1,2.233333333
8_13,1,1.7
8_15,1,13.5
8_17,1,10.88333333
7_24,2,12.98333333
7_26,2,4.033333333
7_28,2,3.166666667
7_30,2,1.266666667
8_1,2,7.35
8_3,2,2.233333333
8_5,2,1.916666667
8_7,2,2.183333333
8_9,2,1.2
8_11,2,1.233333333
8_13,2,1.166666667
8_15,2,5.35
8_17,2,2.383333333
7_24,4,12.31666667
7_26,4,5.7
7_30,4,7.45
8_1,4,12.9
8_3,4,6.45
8_5,4,4.95
8_7,4,8.05
8_9,4,2.683333333
8_11,4,2.033333333
8_13,4,2.633333333
8_15,4,4.333333333
8_17,4,3.583333333
7_24,5,10.93333333
7_26,5,9.1
7_28,5,19.95
7_30,5,9.816666667
8_1,5,1.65
8_3,5,3.7
8_5,5,2.733333333
8_7,5,13.85
8_9,5,4.916666667
8_11,5,1.883333333
8_13,5,1.783333333
8_15,5,2.433333333
8_17,5,2.133333333
7_26,7,1.966666667
7_28,7,4.783333333
7_30,7,13.91666667
8_1,7,1.6
8_5,7,29.4
8_9,7,1.55
8_11,7,4.5
8_13,7,8.583333333
8_15,7,22.65
7_24,8,11.51666667
7_26,8,3.35
7_28,8,4.316666667
7_30,8,23.7
8_1,8,3.35
8_3,8,10.78333333
8_7,8,17.23333333
8_9,8,8.7
8_11,8,2.5
8_13,8,5.216666667
8_15,8,4.3
8_17,8,2.016666667
7_24,9,8.966666667
7_26,9,19.96666667
7_28,9,1.15
7_30,9,1.783333333
8_1,9,23.63333333
8_3,9,14.11666667
8_5,9,2.183333333
8_7,9,6.6
8_9,9,1.633333333
8_11,9,1.533333333
8_13,9,1.816666667
8_15,9,2.433333333
7_24,10,6.583333333
7_26,10,6.733333333
7_28,10,4.716666667
7_30,10,1.85
8_1,10,7.6
8_3,10,1.533333333
8_5,10,1.35
8_7,10,4.15
8_9,10,3.15
8_11,10,1.833333333
8_17,10,2.433333333
7_24,11,3.1
7_26,11,1.7
7_28,11,7.216666667
7_30,11,0.733333333
8_1,11,1.75
8_3,11,2.683333333
8_5,11,1.683333333
8_7,11,1.666666667
8_9,11,5.566666667
8_11,11,1.083333333
8_15,11,6.233333333
8_17,11,2.6
8_7,12,7.383333333
8_9,12,9.316666667
7_24,13,9.366666667
7_26,13,24.18333333
7_30,13,4.95
8_5,13,6.65
8_9,13,8.15
8_11,13,7.983333333
8_15,13,6.383333333
8_17,13,5.283333333
7_24,14,2.35
7_26,14,14.23333333
7_28,14,5.15
7_30,14,7.716666667
8_1,14,6.816666667
8_3,14,1.766666667
8_5,14,1.866666667
8_7,14,1.633333333
8_9,14,2.15
8_11,14,4.566666667
8_13,14,1.566666667
8_15,14,2.483333333
8_17,14,1
7_24,16,8.433333333
7_28,16,3.85
8_1,16,6.933333333
8_3,16,2.716666667
8_5,16,4.05
8_7,16,2.116666667
8_9,16,25.58333333
8_11,16,2.183333333
8_13,16,1.333333333
8_15,16,1.833333333
8_17,16,9.033333333
7_24,17,3.65
7_28,17,1.166666667
7_30,17,1.516666667
8_1,17,8.483333333
8_3,17,7.483333333
8_5,17,11.28333333
8_7,17,1.583333333
8_9,17,3.55
8_11,17,2.583333333
8_13,17,2.783333333
8_15,17,2.083333333
8_17,17,7.233333333
7_28,18,19.58333333
7_30,18,22.71666667
8_1,18,13.2
8_9,18,9.05
8_11,18,7.883333333
8_15,18,11.68333333
8_17,18,4.316666667
7_26,19,2.116666667
7_28,19,1.866666667
7_30,19,3.65
8_1,19,4.1
8_3,19,1.55
8_5,19,1.9
8_7,19,3.566666667
8_9,19,4.966666667
8_11,19,4.966666667
8_13,19,1.15
8_15,19,3.05
8_17,19,0.983333333
